1 double sided triangle(s) detected in Wings.
6 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
9 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
11 double sided triangle(s) detected in unnamed geometry.
9 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
11 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
30 double sided triangle(s) detected in unnamed geometry.
7 double sided triangle(s) detected in unnamed geometry.
7 double sided triangle(s) detected in unnamed geometry.
7 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
16 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
13 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
