1 double sided triangle(s) detected in Wings.
4 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
3 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
14 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
7 double sided triangle(s) detected in unnamed geometry.
23 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
17 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
30 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
3 double sided triangle(s) detected in unnamed geometry.
5 double sided triangle(s) detected in unnamed geometry.
9 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
20 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
7 double sided triangle(s) detected in unnamed geometry.
11 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
